,Unnamed: 0,Open,High,Low,Close,Volume,Open.Interest
3391,2003-01-01,,,,,,
3392,2003-01-02,,,,,,
3393,2003-01-03,,,,,,
3394,2003-01-06,,,,,,
3395,2003-01-07,,,,,,
3396,2003-01-08,,,,,,
3397,2003-01-09,,,,,,
3398,2003-01-10,,,,,,
3399,2003-01-13,,,,,,
3400,2003-01-14,,,,,,
3401,2003-01-15,,,,,,
3402,2003-01-16,,,,,,
3403,2003-01-17,,,,,,
3404,2003-01-20,,,,,,
3405,2003-01-21,,,,,,
3406,2003-01-22,,,,,,
3407,2003-01-23,,,,,,
3408,2003-01-24,,,,,,
3409,2003-01-27,,,,,,
3410,2003-01-28,,,,,,
3411,2003-01-29,,,,,,
3412,2003-01-30,,,,,,
3413,2003-01-31,,,,,,
3414,2003-02-03,,,,,,
3415,2003-02-04,,,,,,
3416,2003-02-05,,,,,,
3417,2003-02-06,,,,,,
3418,2003-02-07,,,,,,
3419,2003-02-10,,,,,,
3420,2003-02-11,,,,,,
3421,2003-02-12,,,,,,
3422,2003-02-13,,,,,,
3423,2003-02-14,,,,,,
3424,2003-02-17,,,,,,
3425,2003-02-18,,,,,,
3426,2003-02-19,,,,,,
3427,2003-02-20,,,,,,
3428,2003-02-21,,,,,,
3429,2003-02-24,,,,,,
3430,2003-02-25,,,,,,
3431,2003-02-26,,,,,,
3432,2003-02-27,,,,,,
3433,2003-02-28,,,,,,
3434,2003-03-03,,,,,,
3435,2003-03-04,,,,,,
3436,2003-03-05,,,,,,
3437,2003-03-06,,,,,,
3438,2003-03-07,,,,,,
3439,2003-03-10,,,,,,
3440,2003-03-11,,,,,,
3441,2003-03-12,,,,,,
3442,2003-03-13,,,,,,
3443,2003-03-14,,,,,,
3444,2003-03-17,,,,,,
3445,2003-03-18,,,,,,
3446,2003-03-19,,,,,,
3447,2003-03-20,,,,,,
3448,2003-03-21,,,,,,
3449,2003-03-24,,,,,,
3450,2003-03-25,,,,,,
3451,2003-03-26,,,,,,
3452,2003-03-27,,,,,,
3453,2003-03-28,,,,,,
3454,2003-03-31,,,,,,
3455,2003-04-01,,,,,,
3456,2003-04-02,,,,,,
3457,2003-04-03,,,,,,
3458,2003-04-04,,,,,,
3459,2003-04-07,,,,,,
3460,2003-04-08,,,,,,
3461,2003-04-09,,,,,,
3462,2003-04-10,,,,,,
3463,2003-04-11,,,,,,
3464,2003-04-14,,,,,,
3465,2003-04-15,,,,,,
3466,2003-04-16,,,,,,
3467,2003-04-17,,,,,,
3468,2003-04-18,,,,,,
3469,2003-04-21,,,,,,
3470,2003-04-22,,,,,,
3471,2003-04-23,,,,,,
3472,2003-04-24,,,,,,
3473,2003-04-25,,,,,,
3474,2003-04-28,,,,,,
3475,2003-04-29,,,,,,
3476,2003-04-30,,,,,,
3477,2003-05-01,,,,,,
3478,2003-05-02,,,,,,
3479,2003-05-05,,,,,,
3480,2003-05-06,,,,,,
3481,2003-05-07,,,,,,
3482,2003-05-08,,,,,,
3483,2003-05-09,,,,,,
3484,2003-05-12,,,,,,
3485,2003-05-13,,,,,,
3486,2003-05-14,,,,,,
3487,2003-05-15,,,,,,
3488,2003-05-16,,,,,,
3489,2003-05-19,,,,,,
3490,2003-05-20,,,,,,
3491,2003-05-21,,,,,,
3492,2003-05-22,,,,,,
3493,2003-05-23,,,,,,
3494,2003-05-26,,,,,,
3495,2003-05-27,,,,,,
3496,2003-05-28,,,,,,
3497,2003-05-29,,,,,,
3498,2003-05-30,,,,,,
3499,2003-06-02,,,,,,
3500,2003-06-03,,,,,,
3501,2003-06-04,,,,,,
3502,2003-06-05,,,,,,
3503,2003-06-06,,,,,,
3504,2003-06-09,,,,,,
3505,2003-06-10,,,,,,
3506,2003-06-11,,,,,,
3507,2003-06-12,,,,,,
3508,2003-06-13,,,,,,
3509,2003-06-16,,,,,,
3510,2003-06-17,,,,,,
3511,2003-06-18,,,,,,
3512,2003-06-19,,,,,,
3513,2003-06-20,,,,,,
3514,2003-06-23,,,,,,
3515,2003-06-24,,,,,,
3516,2003-06-25,,,,,,
3517,2003-06-26,,,,,,
3518,2003-06-27,,,,,,
3519,2003-06-30,,,,,,
3520,2003-07-01,,,,,,
3521,2003-07-02,,,,,,
3522,2003-07-03,,,,,,
3523,2003-07-04,,,,,,
3524,2003-07-07,,,,,,
3525,2003-07-08,,,,,,
3526,2003-07-09,,,,,,
3527,2003-07-10,,,,,,
3528,2003-07-11,,,,,,
3529,2003-07-14,,,,,,
3530,2003-07-15,,,,,,
3531,2003-07-16,,,,,,
3532,2003-07-17,,,,,,
3533,2003-07-18,,,,,,
3534,2003-07-21,,,,,,
3535,2003-07-22,,,,,,
3536,2003-07-23,,,,,,
3537,2003-07-24,,,,,,
3538,2003-07-25,,,,,,
3539,2003-07-28,,,,,,
3540,2003-07-29,,,,,,
3541,2003-07-30,,,,,,
3542,2003-07-31,,,,,,
3543,2003-08-01,,,,,,
3544,2003-08-04,,,,,,
3545,2003-08-05,,,,,,
3546,2003-08-06,,,,,,
3547,2003-08-07,,,,,,
3548,2003-08-08,,,,,,
3549,2003-08-11,,,,,,
3550,2003-08-12,,,,,,
3551,2003-08-13,,,,,,
3552,2003-08-14,,,,,,
3553,2003-08-15,,,,,,
3554,2003-08-18,,,,,,
3555,2003-08-19,,,,,,
3556,2003-08-20,,,,,,
3557,2003-08-21,,,,,,
3558,2003-08-22,,,,,,
3559,2003-08-25,,,,,,
3560,2003-08-26,,,,,,
3561,2003-08-27,,,,,,
3562,2003-08-28,,,,,,
3563,2003-08-29,,,,,,
3564,2003-09-01,,,,,,
3565,2003-09-02,,,,,,
3566,2003-09-03,,,,,,
3567,2003-09-04,,,,,,
3568,2003-09-05,,,,,,
3569,2003-09-08,,,,,,
3570,2003-09-09,,,,,,
3571,2003-09-10,,,,,,
3572,2003-09-11,,,,,,
3573,2003-09-12,,,,,,
3574,2003-09-15,,,,,,
3575,2003-09-16,,,,,,
3576,2003-09-17,,,,,,
3577,2003-09-18,,,,,,
3578,2003-09-19,,,,,,
3579,2003-09-22,,,,,,
3580,2003-09-23,,,,,,
3581,2003-09-24,,,,,,
3582,2003-09-25,,,,,,
3583,2003-09-26,,,,,,
3584,2003-09-29,,,,,,
3585,2003-09-30,,,,,,
3586,2003-10-01,,,,,,
3587,2003-10-02,,,,,,
3588,2003-10-03,,,,,,
3589,2003-10-06,,,,,,
3590,2003-10-07,,,,,,
3591,2003-10-08,,,,,,
3592,2003-10-09,,,,,,
3593,2003-10-10,,,,,,
3594,2003-10-13,,,,,,
3595,2003-10-14,,,,,,
3596,2003-10-15,,,,,,
3597,2003-10-16,,,,,,
3598,2003-10-17,,,,,,
3599,2003-10-20,,,,,,
3600,2003-10-21,,,,,,
3601,2003-10-22,,,,,,
3602,2003-10-23,,,,,,
3603,2003-10-24,,,,,,
3604,2003-10-27,,,,,,
3605,2003-10-28,,,,,,
3606,2003-10-29,,,,,,
3607,2003-10-30,,,,,,
3608,2003-10-31,,,,,,
3609,2003-11-03,,,,,,
3610,2003-11-04,,,,,,
3611,2003-11-05,,,,,,
3612,2003-11-06,,,,,,
3613,2003-11-07,,,,,,
3614,2003-11-10,,,,,,
3615,2003-11-11,,,,,,
3616,2003-11-12,,,,,,
3617,2003-11-13,,,,,,
3618,2003-11-14,,,,,,
3619,2003-11-17,,,,,,
3620,2003-11-18,,,,,,
3621,2003-11-19,,,,,,
3622,2003-11-20,,,,,,
3623,2003-11-21,,,,,,
3624,2003-11-24,,,,,,
3625,2003-11-25,,,,,,
3626,2003-11-26,,,,,,
3627,2003-11-27,,,,,,
3628,2003-11-28,,,,,,
3629,2003-12-01,,,,,,
3630,2003-12-02,,,,,,
3631,2003-12-03,,,,,,
3632,2003-12-04,,,,,,
3633,2003-12-05,,,,,,
3634,2003-12-08,,,,,,
