,Index,LMPBDS03
0,2003-12-11,70
1,2003-12-12,70
2,2003-12-15,53
3,2003-12-16,179
4,2003-12-17,90
5,2003-12-18,147
6,2003-12-19,80
7,2003-12-22,35
8,2003-12-23,61
9,2003-12-26,58
10,2003-12-29,61
11,2003-12-30,61
12,2003-12-31,413
13,2004-01-02,308
14,2004-01-05,140
15,2004-01-06,232
16,2004-01-07,123
17,2004-01-08,72
18,2004-01-09,72
19,2004-01-12,151
20,2004-01-13,130
21,2004-01-14,213
22,2004-01-15,111
23,2004-01-16,58
24,2004-01-20,147
25,2004-01-21,227
26,2004-01-22,132
27,2004-01-28,266
28,2004-01-29,95
29,2004-01-30,391
30,2004-02-02,165
31,2004-02-03,335
32,2004-02-04,221
33,2004-02-05,130
34,2004-02-06,118
35,2004-02-09,191
36,2004-02-10,173
37,2004-02-11,175
38,2004-02-12,219
39,2004-02-13,247
40,2004-02-17,446
41,2004-02-18,468
42,2004-02-19,241
43,2004-02-20,867
44,2004-02-23,467
45,2004-02-24,527
46,2004-02-25,250
47,2004-02-26,43
48,2004-02-27,108
49,2004-03-01,219
50,2004-03-02,250
51,2004-03-03,496
52,2004-03-04,236
53,2004-03-05,95
54,2004-03-08,326
55,2004-03-09,66
56,2004-03-10,134
57,2004-03-11,106
58,2004-03-12,106
59,2004-03-15,240
60,2004-03-16,148
61,2004-03-17,168
62,2004-03-18,112
63,2004-03-19,201
64,2004-03-22,828
65,2004-03-23,125
66,2004-03-24,185
67,2004-03-25,412
68,2004-03-26,81
69,2004-03-29,93
70,2004-03-30,158
71,2004-03-31,358
72,2004-04-01,140
73,2004-04-02,242
74,2004-04-05,212
75,2004-04-06,249
76,2004-04-07,149
77,2004-04-12,802
78,2004-04-13,226
79,2004-04-14,162
80,2004-04-15,75
81,2004-04-16,96
82,2004-04-19,236
83,2004-04-20,356
84,2004-04-21,234
85,2004-04-22,220
86,2004-04-23,28
87,2004-04-26,84
88,2004-04-27,246
89,2004-04-28,48
90,2004-04-29,85
91,2004-05-03,68
92,2004-05-04,100
93,2004-05-05,415
94,2004-05-06,124
95,2004-05-07,143
96,2004-05-10,58
97,2004-05-11,61
98,2004-05-12,58
99,2004-05-13,53
100,2004-05-14,86
101,2004-05-17,117
102,2004-05-18,326
103,2004-05-19,363
104,2004-05-20,503
105,2004-05-21,492
106,2004-05-24,152
107,2004-05-25,528
108,2004-05-26,196
109,2004-05-27,232
110,2004-05-28,392
111,2004-06-01,136
112,2004-06-02,234
113,2004-06-03,51
114,2004-06-04,83
115,2004-06-07,525
116,2004-06-08,314
117,2004-06-09,1071
118,2004-06-10,243
119,2004-06-11,132
120,2004-06-14,245
121,2004-06-15,153
122,2004-06-16,230
123,2004-06-17,278
124,2004-06-18,154
125,2004-06-21,348
126,2004-06-22,159
127,2004-06-23,378
128,2004-06-24,181
129,2004-06-25,90
130,2004-06-28,406
131,2004-06-29,408
132,2004-06-30,253
133,2004-07-01,414
134,2004-07-02,295
135,2004-07-06,305
136,2004-07-07,292
137,2004-07-08,204
138,2004-07-09,98
139,2004-07-12,259
140,2004-07-13,94
141,2004-07-14,80
142,2004-07-15,141
143,2004-07-16,68
144,2004-07-19,154
145,2004-07-20,294
146,2004-07-21,102
147,2004-07-22,735
148,2004-07-23,203
149,2004-07-26,449
150,2004-07-27,858
151,2004-07-28,539
152,2004-07-29,184
153,2004-07-30,306
154,2004-08-02,158
155,2004-08-03,282
156,2004-08-04,199
157,2004-08-05,417
158,2004-08-06,399
159,2004-08-09,249
160,2004-08-10,106
161,2004-08-11,295
162,2004-08-12,197
163,2004-08-13,232
164,2004-08-16,135
165,2004-08-17,923
166,2004-08-18,178
167,2004-08-19,35
168,2004-08-20,205
169,2004-08-23,60
170,2004-08-24,108
171,2004-08-25,17
172,2004-08-26,76
173,2004-08-30,94
174,2004-08-31,146
175,2004-09-01,177
176,2004-09-02,80
177,2004-09-03,368
178,2004-09-07,264
179,2004-09-08,184
180,2004-09-09,167
181,2004-09-10,1033
182,2004-09-13,277
183,2004-09-14,334
184,2004-09-15,93
185,2004-09-16,249
186,2004-09-17,386
187,2004-09-20,235
188,2004-09-21,693
189,2004-09-22,118
190,2004-09-23,217
191,2004-09-24,201
192,2004-09-27,88
193,2004-09-28,213
194,2004-09-29,205
195,2004-09-30,245
196,2004-10-01,160
197,2004-10-04,151
198,2004-10-05,79
199,2004-10-06,410
200,2004-10-07,170
201,2004-10-08,119
202,2004-10-11,273
203,2004-10-12,550
204,2004-10-13,3347
205,2004-10-14,627
206,2004-10-15,156
207,2004-10-18,205
208,2004-10-19,179
209,2004-10-20,186
210,2004-10-21,66
211,2004-10-22,167
212,2004-10-25,157
213,2004-10-26,193
214,2004-10-27,258
215,2004-10-28,80
216,2004-10-29,155
217,2004-11-01,105
218,2004-11-02,97
219,2004-11-03,271
220,2004-11-04,254
221,2004-11-05,770
222,2004-11-08,374
223,2004-11-09,262
224,2004-11-10,193
225,2004-11-11,196
226,2004-11-12,118
227,2004-11-15,354
228,2004-11-16,152
229,2004-11-17,980
230,2004-11-18,387
231,2004-11-19,358
232,2004-11-22,130
233,2004-11-23,109
234,2004-11-24,270
235,2004-11-26,116
236,2004-11-29,307
237,2004-11-30,306
238,2004-12-01,235
239,2004-12-02,348
240,2004-12-03,145
241,2004-12-06,201
242,2004-12-07,914
243,2004-12-08,771
244,2004-12-09,1211
245,2004-12-10,388
246,2004-12-13,205
247,2004-12-14,125
248,2004-12-15,284
249,2004-12-16,88
250,2004-12-17,85
251,2004-12-20,87
252,2004-12-21,303
253,2004-12-22,41
254,2004-12-28,78
255,2004-12-29,606
256,2004-12-30,687
257,2005-01-03,1786
258,2005-01-04,1513
259,2005-01-05,1140
260,2005-01-06,587
261,2005-01-07,230
262,2005-01-10,146
263,2005-01-11,90
264,2005-01-12,78
265,2005-01-13,231
266,2005-01-14,208
267,2005-01-18,393
268,2005-01-19,121
269,2005-01-20,370
270,2005-01-21,157
271,2005-01-24,181
272,2005-01-25,146
273,2005-01-26,186
274,2005-01-27,139
275,2005-01-28,179
276,2005-01-31,293
