,Unnamed: 0,Open.Price,High.Price,Low.Price,Close.Price,Volume
4037,2003-01-02,7150.0,7450.0,7140.0,7440.0,
4038,2003-01-03,7510.0,7520.0,7380.0,7430.0,
4039,2003-01-06,7410.0,7580.0,7380.0,7550.0,
4040,2003-01-07,7530.0,7760.0,7500.0,7700.0,
4041,2003-01-08,7660.0,7950.0,7630.0,7900.0,
4042,2003-01-09,7910.0,8050.0,7850.0,7995.0,
4043,2003-01-10,7990.0,8050.0,7890.0,7905.0,
4044,2003-01-13,7880.0,8010.0,7860.0,7985.0,
4045,2003-01-14,7975.0,7995.0,7850.0,7920.0,
4046,2003-01-15,7960.0,8080.0,7930.0,8015.0,
4047,2003-01-16,8050.0,8090.0,7985.0,7985.0,
4048,2003-01-17,7970.0,8040.0,7945.0,8020.0,
4049,2003-01-20,8170.0,8340.0,8170.0,8290.0,
4050,2003-01-21,8480.0,8490.0,8350.0,8440.0,
4051,2003-01-22,8360.0,8430.0,8350.0,8390.0,
4052,2003-01-23,8550.0,8670.0,8515.0,8550.0,
4053,2003-01-24,8600.0,8640.0,8540.0,8580.0,
4054,2003-01-27,8610.0,8660.0,8380.0,8380.0,
4055,2003-01-28,8300.0,8420.0,8100.0,8110.0,
4056,2003-01-29,8070.0,8290.0,7950.0,7960.0,
4057,2003-01-30,8120.0,8425.0,8100.0,8390.0,
4058,2003-01-31,8020.0,8300.0,8010.0,8210.0,
4059,2003-02-03,8320.0,8490.0,8310.0,8440.0,
4060,2003-02-04,8280.0,8310.0,8200.0,8240.0,
4061,2003-02-05,8220.0,8510.0,8220.0,8440.0,
4062,2003-02-06,8360.0,8390.0,8240.0,8310.0,
4063,2003-02-07,8370.0,8410.0,8290.0,8370.0,
4064,2003-02-10,8400.0,8640.0,8400.0,8620.0,
4065,2003-02-11,8600.0,8660.0,8530.0,8555.0,
4066,2003-02-12,8530.0,8570.0,8420.0,8500.0,
4067,2003-02-13,8430.0,8450.0,8250.0,8290.0,
4068,2003-02-14,8410.0,8570.0,8380.0,8570.0,
4069,2003-02-17,8570.0,8600.0,8380.0,8500.0,
4070,2003-02-18,8480.0,8480.0,8380.0,8445.0,
4071,2003-02-19,8490.0,8570.0,8450.0,8540.0,
4072,2003-02-20,8790.0,8860.0,8660.0,8800.0,
4073,2003-02-21,8890.0,8990.0,8810.0,8810.0,
4074,2003-02-24,8900.0,8980.0,8880.0,8910.0,
4075,2003-02-25,8920.0,8950.0,8900.0,8940.0,
4076,2003-02-26,9060.0,9140.0,9020.0,9060.0,
4077,2003-02-27,9010.0,9010.0,8720.0,8870.0,
4078,2003-02-28,8820.0,8890.0,8685.0,8720.0,
4079,2003-03-03,8790.0,8900.0,8740.0,8900.0,
4080,2003-03-04,8950.0,8970.0,8830.0,8860.0,
4081,2003-03-05,8850.0,8850.0,8680.0,8780.0,
4082,2003-03-06,8780.0,8850.0,8750.0,8790.0,
4083,2003-03-07,8660.0,8780.0,8560.0,8780.0,
4084,2003-03-10,8560.0,8650.0,8440.0,8440.0,
4085,2003-03-11,8555.0,8645.0,8520.0,8575.0,
4086,2003-03-12,8350.0,8400.0,8250.0,8280.0,
4087,2003-03-13,8230.0,8280.0,8200.0,8240.0,
4088,2003-03-14,8340.0,8360.0,8075.0,8100.0,
4089,2003-03-17,8080.0,8130.0,8030.0,8110.0,
4090,2003-03-18,8200.0,8280.0,8180.0,8210.0,
4091,2003-03-19,8310.0,8440.0,8250.0,8370.0,
4092,2003-03-20,8340.0,8340.0,8220.0,8240.0,
4093,2003-03-21,8300.0,8340.0,8190.0,8220.0,
4094,2003-03-24,8220.0,8220.0,8155.0,8180.0,
4095,2003-03-25,8280.0,8390.0,8225.0,8280.0,
4096,2003-03-26,8360.0,8370.0,8060.0,8080.0,
4097,2003-03-27,7870.0,7870.0,7690.0,7775.0,
4098,2003-03-28,7760.0,7880.0,7740.0,7865.0,
4099,2003-03-31,7880.0,7945.0,7740.0,7780.0,
4100,2003-04-01,7830.0,7890.0,7775.0,7810.0,
4101,2003-04-02,7750.0,7840.0,7750.0,7810.0,
4102,2003-04-03,7900.0,7900.0,7780.0,7800.0,
4103,2003-04-04,7920.0,7935.0,7890.0,7910.0,
4104,2003-04-07,7990.0,8080.0,7980.0,7970.0,
4105,2003-04-08,7810.0,7840.0,7770.0,7800.0,
4106,2003-04-09,7720.0,7990.0,7700.0,7970.0,
4107,2003-04-10,7960.0,7960.0,7740.0,7835.0,
4108,2003-04-11,7840.0,8150.0,7840.0,8115.0,
4109,2003-04-14,7985.0,7995.0,7910.0,7970.0,
4110,2003-04-15,8180.0,8220.0,8080.0,8205.0,
4111,2003-04-16,8130.0,8220.0,8120.0,8155.0,
4112,2003-04-17,8150.0,8230.0,8050.0,8200.0,
4113,2003-04-22,8140.0,8140.0,7930.0,7940.0,
4114,2003-04-23,7885.0,7910.0,7815.0,7815.0,
4115,2003-04-24,7780.0,7890.0,7760.0,7825.0,
4116,2003-04-25,7840.0,7900.0,7830.0,7855.0,
4117,2003-04-28,7910.0,7910.0,7830.0,7865.0,
4118,2003-04-29,7905.0,7995.0,7885.0,7995.0,
4119,2003-04-30,7980.0,8025.0,7880.0,8030.0,
4120,2003-05-01,8060.0,8240.0,8050.0,8180.0,
4121,2003-05-02,8040.0,8125.0,8030.0,8040.0,
4122,2003-05-06,8060.0,8160.0,8060.0,8080.0,
4123,2003-05-07,8130.0,8150.0,8090.0,8135.0,
4124,2003-05-08,8220.0,8220.0,8170.0,8190.0,
4125,2003-05-09,8160.0,8220.0,8080.0,8080.0,
4126,2003-05-12,8040.0,8175.0,8040.0,8150.0,
4127,2003-05-13,8250.0,8260.0,8140.0,8160.0,
4128,2003-05-14,8120.0,8140.0,8055.0,8140.0,
4129,2003-05-15,8180.0,8350.0,8160.0,8340.0,
4130,2003-05-16,8310.0,8420.0,8310.0,8380.0,
4131,2003-05-19,8370.0,8390.0,8250.0,8275.0,
4132,2003-05-20,8230.0,8370.0,8160.0,8165.0,
4133,2003-05-21,8290.0,8380.0,8280.0,8345.0,
4134,2003-05-22,8480.0,8640.0,8450.0,8620.0,
4135,2003-05-23,8530.0,8560.0,8450.0,8450.0,
