,Index,LMNIDS03
0,2003-12-11,126
1,2003-12-12,136
2,2003-12-15,45
3,2003-12-16,167
4,2003-12-17,210
5,2003-12-18,73
6,2003-12-19,77
7,2003-12-22,131
8,2003-12-23,117
9,2003-12-26,70
10,2003-12-29,46
11,2003-12-30,19
12,2003-12-31,10
13,2004-01-02,43
14,2004-01-05,240
15,2004-01-06,229
16,2004-01-07,377
17,2004-01-08,77
18,2004-01-09,77
19,2004-01-12,128
20,2004-01-13,79
21,2004-01-14,242
22,2004-01-15,104
23,2004-01-16,96
24,2004-01-20,122
25,2004-01-21,65
26,2004-01-22,46
27,2004-01-28,71
28,2004-01-29,56
29,2004-01-30,293
30,2004-02-02,103
31,2004-02-03,56
32,2004-02-04,83
33,2004-02-05,109
34,2004-02-06,111
35,2004-02-09,159
36,2004-02-10,146
37,2004-02-11,91
38,2004-02-12,82
39,2004-02-13,55
40,2004-02-17,47
41,2004-02-18,63
42,2004-02-19,237
43,2004-02-20,354
44,2004-02-23,242
45,2004-02-24,125
46,2004-02-25,74
47,2004-02-26,43
48,2004-02-27,193
49,2004-03-01,155
50,2004-03-02,174
51,2004-03-03,363
52,2004-03-04,140
53,2004-03-05,68
54,2004-03-08,85
55,2004-03-09,54
56,2004-03-10,152
57,2004-03-11,175
58,2004-03-12,265
59,2004-03-15,135
60,2004-03-16,178
61,2004-03-17,78
62,2004-03-18,50
63,2004-03-19,129
64,2004-03-22,138
65,2004-03-23,129
66,2004-03-24,86
67,2004-03-25,44
68,2004-03-26,84
69,2004-03-29,166
70,2004-03-30,244
71,2004-03-31,430
72,2004-04-01,179
73,2004-04-02,139
74,2004-04-05,203
75,2004-04-06,78
76,2004-04-07,72
77,2004-04-12,204
78,2004-04-13,176
79,2004-04-14,255
80,2004-04-15,321
81,2004-04-16,116
82,2004-04-19,243
83,2004-04-20,184
84,2004-04-21,211
85,2004-04-22,289
86,2004-04-23,60
87,2004-04-26,197
88,2004-04-27,168
89,2004-04-28,60
90,2004-04-29,159
91,2004-05-03,123
92,2004-05-04,115
93,2004-05-05,272
94,2004-05-06,48
95,2004-05-07,144
96,2004-05-10,122
97,2004-05-11,109
98,2004-05-12,165
99,2004-05-13,151
100,2004-05-14,93
101,2004-05-17,306
102,2004-05-18,242
103,2004-05-19,95
104,2004-05-20,342
105,2004-05-21,165
106,2004-05-24,167
107,2004-05-25,162
108,2004-05-26,157
109,2004-05-27,152
110,2004-05-28,376
111,2004-06-01,153
112,2004-06-02,151
113,2004-06-03,232
114,2004-06-04,127
115,2004-06-07,50
116,2004-06-08,163
117,2004-06-09,145
118,2004-06-10,177
119,2004-06-11,406
120,2004-06-14,145
121,2004-06-15,89
122,2004-06-16,428
123,2004-06-17,773
124,2004-06-18,320
125,2004-06-21,432
126,2004-06-22,354
127,2004-06-23,187
128,2004-06-24,113
129,2004-06-25,102
130,2004-06-28,288
131,2004-06-29,399
132,2004-06-30,264
133,2004-07-01,322
134,2004-07-02,205
135,2004-07-06,298
136,2004-07-07,289
137,2004-07-08,109
138,2004-07-09,215
139,2004-07-12,237
140,2004-07-13,120
141,2004-07-14,139
142,2004-07-15,246
143,2004-07-16,70
144,2004-07-19,208
145,2004-07-20,103
146,2004-07-21,145
147,2004-07-22,770
148,2004-07-23,239
149,2004-07-26,257
150,2004-07-27,289
151,2004-07-28,152
152,2004-07-29,269
153,2004-07-30,197
154,2004-08-02,182
155,2004-08-03,226
156,2004-08-04,320
157,2004-08-05,296
158,2004-08-06,292
159,2004-08-09,176
160,2004-08-10,155
161,2004-08-11,189
162,2004-08-12,89
163,2004-08-13,358
164,2004-08-16,339
165,2004-08-17,241
166,2004-08-18,255
167,2004-08-19,154
168,2004-08-20,272
169,2004-08-23,101
170,2004-08-24,73
171,2004-08-25,679
172,2004-08-26,686
173,2004-08-30,235
174,2004-08-31,157
175,2004-09-01,156
176,2004-09-02,137
177,2004-09-03,201
178,2004-09-07,242
179,2004-09-08,359
180,2004-09-09,172
181,2004-09-10,145
182,2004-09-13,325
183,2004-09-14,520
184,2004-09-15,204
185,2004-09-16,260
186,2004-09-17,239
187,2004-09-20,402
188,2004-09-21,940
189,2004-09-22,633
190,2004-09-23,374
191,2004-09-24,185
192,2004-09-27,91
193,2004-09-28,186
194,2004-09-29,557
195,2004-09-30,788
196,2004-10-01,160
197,2004-10-04,149
198,2004-10-05,425
199,2004-10-06,672
200,2004-10-07,552
201,2004-10-08,194
202,2004-10-11,414
203,2004-10-12,1512
204,2004-10-13,1110
205,2004-10-14,587
206,2004-10-15,255
207,2004-10-18,474
208,2004-10-19,261
209,2004-10-20,254
210,2004-10-21,171
211,2004-10-22,99
212,2004-10-25,557
213,2004-10-26,327
214,2004-10-27,292
215,2004-10-28,244
216,2004-10-29,184
217,2004-11-01,111
218,2004-11-02,155
219,2004-11-03,319
220,2004-11-04,308
221,2004-11-05,209
222,2004-11-08,353
223,2004-11-09,160
224,2004-11-10,127
225,2004-11-11,263
226,2004-11-12,143
227,2004-11-15,309
228,2004-11-16,156
229,2004-11-17,319
230,2004-11-18,344
231,2004-11-19,269
232,2004-11-22,235
233,2004-11-23,193
234,2004-11-24,253
235,2004-11-26,118
236,2004-11-29,124
237,2004-11-30,163
238,2004-12-01,730
239,2004-12-02,878
240,2004-12-03,436
241,2004-12-06,316
242,2004-12-07,852
243,2004-12-08,361
244,2004-12-09,383
245,2004-12-10,352
246,2004-12-13,222
247,2004-12-14,345
248,2004-12-15,231
249,2004-12-16,119
250,2004-12-17,1010
251,2004-12-20,838
252,2004-12-21,610
253,2004-12-22,73
254,2004-12-28,351
255,2004-12-29,414
256,2004-12-30,122
257,2005-01-03,728
258,2005-01-04,407
259,2005-01-05,325
260,2005-01-06,731
261,2005-01-07,207
262,2005-01-10,182
263,2005-01-11,208
264,2005-01-12,239
265,2005-01-13,103
266,2005-01-14,178
267,2005-01-18,259
268,2005-01-19,349
269,2005-01-20,414
270,2005-01-21,214
271,2005-01-24,241
272,2005-01-25,399
273,2005-01-26,190
274,2005-01-27,435
275,2005-01-28,199
276,2005-01-31,306
277,2005-02-01,227
278,2005-02-02,509
279,2005-02-03,283
280,2005-02-04,125
281,2005-02-07,638
282,2005-02-08,620
283,2005-02-09,449
284,2005-02-10,624
285,2005-02-11,328
286,2005-02-14,538
287,2005-02-15,588
288,2005-02-16,248
289,2005-02-17,186
290,2005-02-18,712
291,2005-02-22,587
292,2005-02-23,364
293,2005-02-24,327
294,2005-02-25,349
295,2005-02-28,620
296,2005-03-01,830
297,2005-03-02,350
298,2005-03-03,359
299,2005-03-04,180
300,2005-03-07,433
301,2005-03-08,243
302,2005-03-09,324
303,2005-03-10,689
304,2005-03-11,188
305,2005-03-14,361
306,2005-03-15,351
307,2005-03-16,149
308,2005-03-17,228
309,2005-03-18,148
310,2005-03-21,252
311,2005-03-22,543
312,2005-03-23,251
313,2005-03-28,383
314,2005-03-29,283
315,2005-03-30,167
316,2005-03-31,332
317,2005-04-01,401
318,2005-04-04,231
319,2005-04-05,327
320,2005-04-06,296
321,2005-04-07,164
322,2005-04-08,108
323,2005-04-11,377
324,2005-04-12,807
325,2005-04-13,731
326,2005-04-14,292
327,2005-04-15,629
328,2005-04-18,254
329,2005-04-19,567
330,2005-04-20,217
331,2005-04-21,164
332,2005-04-22,209
333,2005-04-25,309
334,2005-04-26,519
335,2005-04-27,680
336,2005-04-28,1012
337,2005-05-02,1229
338,2005-05-03,489
339,2005-05-04,538
340,2005-05-05,477
341,2005-05-06,795
342,2005-05-09,1495
343,2005-05-10,991
344,2005-05-11,1435
345,2005-05-12,994
346,2005-05-13,1665
347,2005-05-16,540
348,2005-05-17,946
349,2005-05-18,630
350,2005-05-19,410
351,2005-05-20,302
352,2005-05-23,796
353,2005-05-24,377
354,2005-05-25,692
355,2005-05-26,537
356,2005-05-27,1024
357,2005-05-31,478
358,2005-06-01,1303
359,2005-06-02,1242
360,2005-06-03,392
361,2005-06-06,577
362,2005-06-07,1551
363,2005-06-08,820
364,2005-06-09,621
365,2005-06-10,729
366,2005-06-13,622
367,2005-06-14,771
368,2005-06-15,308
369,2005-06-16,788
370,2005-06-17,394
371,2005-06-20,1677
372,2005-06-21,1608
373,2005-06-22,2852
374,2005-06-23,2580
375,2005-06-24,1251
376,2005-06-27,1814
377,2005-06-28,850
378,2005-06-29,663
379,2005-06-30,1033
380,2005-07-01,543
381,2005-07-05,954
382,2005-07-06,738
383,2005-07-07,479
384,2005-07-08,652
385,2005-07-11,1083
386,2005-07-12,893
387,2005-07-13,516
388,2005-07-14,366
389,2005-07-15,565
390,2005-07-18,1355
391,2005-07-19,1283
392,2005-07-20,822
393,2005-07-21,616
394,2005-07-22,526
395,2005-07-25,578
396,2005-07-26,475
397,2005-07-27,1729
398,2005-07-28,662
399,2005-07-29,740
400,2005-08-01,549
401,2005-08-02,881
402,2005-08-03,943
403,2005-08-04,588
404,2005-08-05,867
405,2005-08-08,474
406,2005-08-09,1344
407,2005-08-10,844
408,2005-08-11,2495
409,2005-08-12,1125
410,2005-08-15,937
411,2005-08-16,1048
412,2005-08-17,672
413,2005-08-18,854
414,2005-08-19,564
415,2005-08-22,738
416,2005-08-23,729
417,2005-08-24,400
418,2005-08-25,620
419,2005-08-29,540
420,2005-08-30,789
421,2005-08-31,1234
422,2005-09-01,386
423,2005-09-02,844
424,2005-09-06,1817
425,2005-09-07,1294
426,2005-09-08,662
427,2005-09-09,587
428,2005-09-12,781
429,2005-09-13,2155
430,2005-09-14,3923
431,2005-09-15,3043
432,2005-09-16,1091
433,2005-09-19,1009
434,2005-09-20,587
435,2005-09-21,529
436,2005-09-22,856
437,2005-09-23,744
438,2005-09-26,612
439,2005-09-27,665
440,2005-09-28,447
441,2005-09-29,383
442,2005-09-30,547
443,2005-10-03,853
444,2005-10-04,510
445,2005-10-05,258
446,2005-10-06,709
447,2005-10-07,2085
448,2005-10-10,1210
449,2005-10-11,738
450,2005-10-12,1583
451,2005-10-13,1248
452,2005-10-14,1686
453,2005-10-17,1095
454,2005-10-18,1336
455,2005-10-19,1192
456,2005-10-20,1002
457,2005-10-21,548
458,2005-10-24,1351
459,2005-10-25,695
460,2005-10-26,1292
461,2005-10-27,1115
462,2005-10-28,767
463,2005-10-31,1167
464,2005-11-01,656
465,2005-11-02,665
466,2005-11-03,520
467,2005-11-04,1238
468,2005-11-07,1070
469,2005-11-08,455
470,2005-11-09,621
471,2005-11-10,305
