,Unnamed: 0,Open.Price,High.Price,Low.Price,Close.Price,Volume
3429,2003-01-02,4260.0,4335.0,4260.0,4335.0,
3430,2003-01-03,4370.0,4435.0,4365.0,4435.0,
3431,2003-01-06,4410.0,4435.0,4370.0,4425.0,
3432,2003-01-07,4380.0,4395.0,4360.0,4355.0,
3433,2003-01-08,4355.0,4435.0,4355.0,4425.0,
3434,2003-01-09,4410.0,4440.0,4400.0,4430.0,
3435,2003-01-10,4430.0,4480.0,4425.0,4430.0,
3436,2003-01-13,4450.0,4475.0,4440.0,4475.0,
3437,2003-01-14,4490.0,4490.0,4470.0,4470.0,
3438,2003-01-15,4512.5,4535.0,4510.0,4510.0,
3439,2003-01-16,4495.0,4495.0,4480.0,4490.0,
3440,2003-01-17,4460.0,4480.0,4460.0,4480.0,
3441,2003-01-20,4530.0,4570.0,4455.0,4520.0,
3442,2003-01-21,4530.0,4530.0,4500.0,4515.0,
3443,2003-01-22,4530.0,4560.0,4530.0,4555.0,
3444,2003-01-23,4560.0,4560.0,4550.0,4550.0,
3445,2003-01-24,4550.0,4550.0,4510.0,4510.0,
3446,2003-01-27,4480.0,4480.0,4450.0,4465.0,
3447,2003-01-28,4460.0,4490.0,4460.0,4470.0,
3448,2003-01-29,4430.0,4510.0,4430.0,4500.0,
3449,2003-01-30,4520.0,4550.0,4510.0,4550.0,
3450,2003-01-31,4540.0,4550.0,4502.0,4550.0,
3451,2003-02-03,4540.0,4555.0,4540.0,4550.0,
3452,2003-02-04,4510.0,4520.0,4460.0,4460.0,
3453,2003-02-05,4370.0,4415.0,4350.0,4400.0,
3454,2003-02-06,4380.0,4390.0,4360.0,4380.0,
3455,2003-02-07,4410.0,4420.0,4410.0,4415.0,
3456,2003-02-10,4410.0,4450.0,4410.0,4450.0,
3457,2003-02-11,4475.0,4500.0,4470.0,4480.0,
3458,2003-02-12,4500.0,4560.0,4490.0,4540.0,
3459,2003-02-13,4560.0,4610.0,4540.0,4545.0,
3460,2003-02-14,4580.0,4650.0,4570.0,4645.0,
3461,2003-02-17,4630.0,4690.0,4595.0,4690.0,
3462,2003-02-18,4700.0,4710.0,4610.0,4630.0,
3463,2003-02-19,4590.0,4620.0,4590.0,4620.0,
3464,2003-02-20,4640.0,4680.0,4640.0,4680.0,
3465,2003-02-21,4690.0,4770.0,4690.0,4745.0,
3466,2003-02-24,4760.0,4820.0,4760.0,4810.0,
3467,2003-02-25,4770.0,4770.0,4730.0,4745.0,
3468,2003-02-26,4780.0,4810.0,4775.0,4810.0,
3469,2003-02-27,4790.0,4790.0,4690.0,4740.0,
3470,2003-02-28,4670.0,4675.0,4600.0,4600.0,
3471,2003-03-03,4600.0,4670.0,4600.0,4650.0,
3472,2003-03-04,4705.0,4730.0,4680.0,4680.0,
3473,2003-03-05,4760.0,4780.0,4720.0,4720.0,
3474,2003-03-06,4790.0,4790.0,4710.0,4710.0,
3475,2003-03-07,4630.0,4640.0,4590.0,4610.0,
3476,2003-03-10,4550.0,4550.0,4500.0,4505.0,
3477,2003-03-11,4520.0,4560.0,4515.0,4550.0,
3478,2003-03-12,4520.0,4540.0,4515.0,4525.0,
3479,2003-03-13,4530.0,4560.0,4525.0,4540.0,
3480,2003-03-14,4550.0,4555.0,4540.0,4550.0,
3481,2003-03-17,4530.0,4580.0,4530.0,4580.0,
3482,2003-03-18,4625.0,4630.0,4590.0,4620.0,
3483,2003-03-19,4650.0,4670.0,4640.0,4655.0,
3484,2003-03-20,4660.0,4660.0,4640.0,4655.0,
3485,2003-03-21,4660.0,4685.0,4660.0,4675.0,
3486,2003-03-24,4650.0,4680.0,4650.0,4675.0,
3487,2003-03-25,4685.0,4705.0,4680.0,4690.0,
3488,2003-03-26,4730.0,4790.0,4685.0,4690.0,
3489,2003-03-27,4645.0,4645.0,4440.0,4530.0,
3490,2003-03-28,4530.0,4530.0,4510.0,4525.0,
3491,2003-03-31,4520.0,4540.0,4510.0,4540.0,
3492,2003-04-01,4650.0,4670.0,4540.0,4650.0,
3493,2003-04-02,4620.0,4620.0,4580.0,4590.0,
3494,2003-04-03,4550.0,4570.0,4500.0,4500.0,
3495,2003-04-04,4570.0,4610.0,4550.0,4600.0,
3496,2003-04-07,4640.0,4640.0,4610.0,4610.0,
3497,2003-04-08,4570.0,4570.0,4510.0,4525.0,
3498,2003-04-09,4505.0,4570.0,4505.0,4570.0,
3499,2003-04-10,4570.0,4580.0,4480.0,4480.0,
3500,2003-04-11,4520.0,4600.0,4515.0,4600.0,
3501,2003-04-14,4550.0,4580.0,4545.0,4545.0,
3502,2003-04-15,4580.0,4590.0,4555.0,4585.0,
3503,2003-04-16,4590.0,4600.0,4575.0,4590.0,
3504,2003-04-17,4620.0,4630.0,4605.0,4615.0,
3505,2003-04-22,4630.0,4640.0,4600.0,4600.0,
3506,2003-04-23,4600.0,4600.0,4550.0,4580.0,
3507,2003-04-24,4585.0,4585.0,4560.0,4570.0,
3508,2003-04-25,4590.0,4590.0,4570.0,4570.0,
3509,2003-04-28,4570.0,4610.0,4565.0,4605.0,
3510,2003-04-29,4610.0,4665.0,4610.0,4665.0,
3511,2003-04-30,4640.0,4665.0,4570.0,4665.0,
3512,2003-05-01,4675.0,4730.0,4675.0,4680.0,
3513,2003-05-02,4670.0,4750.0,4655.0,4745.0,
3514,2003-05-06,4730.0,4745.0,4655.0,4720.0,
3515,2003-05-07,4720.0,4735.0,4700.0,4735.0,
3516,2003-05-08,4745.0,4775.0,4720.0,4750.0,
3517,2003-05-09,4735.0,4755.0,4725.0,4725.0,
3518,2003-05-12,4705.0,4740.0,4700.0,4730.0,
3519,2003-05-13,4800.0,4800.0,4760.0,4765.0,
3520,2003-05-14,4770.0,4770.0,4730.0,4730.0,
3521,2003-05-15,4750.0,4800.0,4750.0,4795.0,
3522,2003-05-16,4800.0,4820.0,4770.0,4775.0,
3523,2003-05-19,4810.0,4810.0,4770.0,4780.0,
3524,2003-05-20,4800.0,4800.0,4725.0,4730.0,
3525,2003-05-21,4800.0,4820.0,4780.0,4815.0,
3526,2003-05-22,4810.0,4810.0,4755.0,4755.0,
3527,2003-05-23,4760.0,4800.0,4740.0,4740.0,
3528,2003-05-27,4740.0,4780.0,4690.0,4780.0,
3529,2003-05-28,4760.0,4765.0,4720.0,4740.0,
3530,2003-05-29,4770.0,4795.0,4770.0,4785.0,
3531,2003-05-30,4780.0,4850.0,4775.0,4850.0,
3532,2003-06-02,4830.0,4830.0,4800.0,4820.0,
3533,2003-06-03,4830.0,4835.0,4810.0,4825.0,
3534,2003-06-04,4785.0,4785.0,4760.0,4750.0,
3535,2003-06-05,4770.0,4780.0,4670.0,4710.0,
3536,2003-06-06,4740.0,4745.0,4720.0,4720.0,
3537,2003-06-09,4730.0,4735.0,4715.0,4715.0,
3538,2003-06-10,4710.0,4750.0,4710.0,4715.0,
3539,2003-06-11,4725.0,4730.0,4680.0,4710.0,
3540,2003-06-12,4725.0,4725.0,4700.0,4710.0,
3541,2003-06-13,4715.0,4725.0,4700.0,4710.0,
3542,2003-06-16,4670.0,4690.0,4650.0,4655.0,
3543,2003-06-17,4650.0,4665.0,4650.0,4660.0,
3544,2003-06-18,4670.0,4695.0,4650.0,4695.0,
3545,2003-06-19,4680.0,4720.0,4680.0,4720.0,
3546,2003-06-20,4740.0,4750.0,4735.0,4735.0,
3547,2003-06-23,4720.0,4740.0,4700.0,4705.0,
3548,2003-06-24,4610.0,4615.0,4575.0,4575.0,
3549,2003-06-25,4630.0,4645.0,4610.0,4610.0,
3550,2003-06-26,4630.0,4640.0,4620.0,4640.0,
3551,2003-06-27,4630.0,4690.0,4630.0,4695.0,
3552,2003-06-30,4680.0,4690.0,4620.0,4650.0,
3553,2003-07-01,4600.0,4640.0,4585.0,4590.0,
3554,2003-07-02,4640.0,4680.0,4640.0,4680.0,
3555,2003-07-03,4710.0,4710.0,4690.0,4700.0,
3556,2003-07-04,4715.0,4715.0,4700.0,4705.0,
