,Index,LMSNDS03
0,2003-12-11,34
1,2003-12-12,45
2,2003-12-15,47
3,2003-12-16,41
4,2003-12-17,60
5,2003-12-18,51
6,2003-12-19,171
7,2003-12-22,7
8,2003-12-23,15
9,2003-12-26,14
10,2003-12-29,15
11,2003-12-30,37
12,2003-12-31,24
13,2004-01-02,82
14,2004-01-05,42
15,2004-01-06,142
16,2004-01-07,33
17,2004-01-08,80
18,2004-01-09,80
19,2004-01-12,65
20,2004-01-13,62
21,2004-01-14,16
22,2004-01-15,46
23,2004-01-16,77
24,2004-01-20,13
25,2004-01-21,1
26,2004-01-22,70
27,2004-01-28,61
28,2004-01-29,44
29,2004-01-30,16
30,2004-02-02,25
31,2004-02-03,5
32,2004-02-04,40
33,2004-02-05,33
34,2004-02-06,42
35,2004-02-09,26
36,2004-02-10,28
37,2004-02-11,39
38,2004-02-12,49
39,2004-02-13,98
40,2004-02-17,34
41,2004-02-18,66
42,2004-02-19,14
43,2004-02-20,212
44,2004-02-23,2
45,2004-02-24,59
46,2004-02-25,70
47,2004-02-26,7
48,2004-02-27,100
49,2004-03-01,43
50,2004-03-02,85
51,2004-03-03,73
52,2004-03-04,109
53,2004-03-05,24
54,2004-03-08,102
55,2004-03-09,43
56,2004-03-10,26
57,2004-03-11,11
58,2004-03-12,31
59,2004-03-15,54
60,2004-03-16,102
61,2004-03-17,12
62,2004-03-18,61
63,2004-03-19,62
64,2004-03-22,95
65,2004-03-23,138
66,2004-03-24,117
67,2004-03-25,55
68,2004-03-26,11
69,2004-03-29,82
70,2004-03-30,43
71,2004-03-31,201
72,2004-04-01,39
73,2004-04-02,118
74,2004-04-05,92
75,2004-04-06,91
76,2004-04-07,276
77,2004-04-12,56
78,2004-04-13,94
79,2004-04-14,62
80,2004-04-15,54
81,2004-04-16,35
82,2004-04-19,54
83,2004-04-20,156
84,2004-04-21,80
85,2004-04-22,123
86,2004-04-23,26
87,2004-04-26,47
88,2004-04-27,93
89,2004-04-28,15
90,2004-04-29,53
91,2004-05-03,76
92,2004-05-04,30
93,2004-05-05,145
94,2004-05-06,94
95,2004-05-07,101
96,2004-05-10,44
97,2004-05-11,46
98,2004-05-12,22
99,2004-05-13,41
100,2004-05-14,42
101,2004-05-17,59
102,2004-05-18,32
103,2004-05-19,200
104,2004-05-20,104
105,2004-05-21,22
106,2004-05-24,88
107,2004-05-25,117
108,2004-05-26,104
109,2004-05-27,61
110,2004-05-28,117
111,2004-06-01,49
112,2004-06-02,30
113,2004-06-03,102
114,2004-06-04,64
115,2004-06-07,51
116,2004-06-08,63
117,2004-06-09,169
118,2004-06-10,117
119,2004-06-11,183
120,2004-06-14,99
121,2004-06-15,17
122,2004-06-16,73
123,2004-06-17,111
124,2004-06-18,81
125,2004-06-21,326
126,2004-06-22,81
127,2004-06-23,36
128,2004-06-24,39
129,2004-06-25,19
130,2004-06-28,87
131,2004-06-29,45
132,2004-06-30,28
133,2004-07-01,20
134,2004-07-02,73
135,2004-07-06,44
136,2004-07-07,243
137,2004-07-08,43
138,2004-07-09,91
139,2004-07-12,75
140,2004-07-13,17
141,2004-07-14,64
142,2004-07-15,118
143,2004-07-16,112
144,2004-07-19,64
145,2004-07-20,126
146,2004-07-21,105
147,2004-07-22,308
148,2004-07-23,67
149,2004-07-26,94
150,2004-07-27,13
151,2004-07-28,19
152,2004-07-29,92
153,2004-07-30,110
154,2004-08-02,45
155,2004-08-03,121
156,2004-08-04,71
157,2004-08-05,33
158,2004-08-06,53
159,2004-08-09,84
160,2004-08-10,43
161,2004-08-11,31
162,2004-08-12,46
163,2004-08-13,306
164,2004-08-16,108
165,2004-08-17,170
166,2004-08-18,176
167,2004-08-19,114
168,2004-08-20,72
169,2004-08-23,82
170,2004-08-24,48
171,2004-08-25,236
172,2004-08-26,110
173,2004-08-30,72
174,2004-08-31,32
175,2004-09-01,112
176,2004-09-02,251
177,2004-09-03,61
178,2004-09-07,43
179,2004-09-08,10
180,2004-09-09,99
181,2004-09-10,122
182,2004-09-13,43
183,2004-09-14,126
184,2004-09-15,36
185,2004-09-16,81
186,2004-09-17,54
187,2004-09-20,40
188,2004-09-21,130
189,2004-09-22,37
190,2004-09-23,37
191,2004-09-24,38
192,2004-09-27,16
193,2004-09-28,11
194,2004-09-29,74
195,2004-09-30,287
196,2004-10-01,63
197,2004-10-04,11
198,2004-10-05,90
199,2004-10-06,144
200,2004-10-07,135
201,2004-10-08,80
202,2004-10-11,38
203,2004-10-12,715
204,2004-10-13,185
205,2004-10-14,108
206,2004-10-15,49
207,2004-10-18,80
208,2004-10-19,33
209,2004-10-20,21
210,2004-10-21,26
211,2004-10-22,5
212,2004-10-25,56
213,2004-10-26,65
214,2004-10-27,91
215,2004-10-28,30
216,2004-10-29,82
217,2004-11-01,50
218,2004-11-02,22
219,2004-11-03,23
220,2004-11-04,71
221,2004-11-05,45
222,2004-11-08,37
223,2004-11-09,17
224,2004-11-11,12
225,2004-11-12,2
226,2004-11-15,15
227,2004-11-16,46
228,2004-11-17,42
229,2004-11-18,35
230,2004-11-19,69
231,2004-11-22,41
232,2004-11-23,66
233,2004-11-24,82
234,2004-11-26,35
235,2004-11-29,64
236,2004-11-30,78
237,2004-12-01,73
238,2004-12-02,21
239,2004-12-03,64
240,2004-12-06,9
241,2004-12-07,150
242,2004-12-08,84
243,2004-12-09,35
244,2004-12-10,123
245,2004-12-13,7
246,2004-12-14,23
247,2004-12-15,28
248,2004-12-16,8
249,2004-12-17,38
250,2004-12-20,46
251,2004-12-21,76
252,2004-12-22,128
253,2004-12-28,185
254,2004-12-29,88
255,2004-12-30,26
256,2005-01-03,88
257,2005-01-04,128
258,2005-01-05,156
259,2005-01-06,114
260,2005-01-07,151
261,2005-01-10,30
262,2005-01-11,28
263,2005-01-12,77
264,2005-01-13,17
